long_name,short_name,area,state,contact,email,url,phone,address
Fond du Lac Area Transit,Fond du Lac Area Transit,Fond du Lac,WI,Ms. Lynn Gilles (Transit Manager),Lgilles@ci.fond-du-lac.wi.us,http://ci.fond-du-lac.wi.us/,(920)322-3652,"530 North Doty Street, Fond du Lac, WI 54935"
Green Bay Metro,GBM,Green Bay,WI,Mr. Christopher Phelps (General Manager),chrisph@ci.green-bay.wi.us,http://www.ci.green-bay.wi.us/,(920)448-3454,"901 University Avenue, Green Bay, WI 54302"
Janesville Transit System,JTS,Janesville,WI,Ms. Jennifer Petruzzello (Neighborhood Services Director),petruzzelloj@ci.janesville.wi.us,http://www.ci.janesville.wi.us/,(608)755-3038,"900 North Parker Drive, Janesville, WI 53545"
Kenosha Transit,KT,Kenosha,WI,Mr. Len Brandrup (Director of Transportation),lbrandrup@kenosha.org,http://www.kenosha.org/,(262)653-4290,"4303 39th Avenue, Kenosha, WI 53144"
LaCrosse Municipal Transit Utility,La Crosse MTU,LaCrosse,WI,Mr. Matt Harter (Mayor),harterm@cityoflacrosse.org,http://www.cityoflacrosse.org/,(608)789-7567,"2000 Marco Drive, LaCrosse, WI 54601"
Metro Transit System,Metro,Madison,WI,Mr. Charles Kamp (Transit General Manager),ckamp@cityofmadison.com,http://www.mymetrobus.com/,(608)267-4904,"1245 East Washington Avenue Suite 201, Madison, WI 53703"
Milwaukee County Transit System,MCTS,Milwaukee,WI,Mrs. Anita Gulotta-Connelly (Managing Director),AGulotta-Connelly@mcts.org,http://www.ridemcts.com/,(414)937-3205,"1942 North 17th Street, Milwaukee, WI 53205"
Oshkosh Transit System,OTS,Oshkosh,WI,Mr. Christopher Strong (Transportation Director),cstrong@ci.oshkosh.wi.us,http://www.ci.oshkosh.wi.us/,(920)232-5342,"926 Dempsey Trail, Oshkosh, WI 54902"
Ozaukee County Transit Services,OCT,Port Washington,WI,Mr. Robert Dreblow (Ozaukee County Highway Commissioner),bdreblow@co.ozaukee.wi.us,http://www.ozaukeetransit.com/,(262)284-8334,"410 South Spring Street, Port Washington, WI 53074"
Belle Urban System - Racine,The Bus,Racine,WI,Mr. Thomas Friedel (Mayor),thomas.friedel@cityofracine.org,http://www.racinetransit.com/,(262)636-9111,"730 Washington Avenue Attn. Kathy Kasper, Racine, WI 53403"
Sheboygan Transit System,,Sheboygan,WI,Mr. Ron McDonald (Director),rmcdonald@ci.sheboygan.wi.us,http://www.sheboygantransit.com/,(920)459-3285,"608 South Commerce Street, Sheboygan, WI 53081"
City of Waukesha Transit Commission,Waukesha Metro Transit,Waukesha,WI,Mr. Robert Johnson (Transit Director),rjohnson@ci.waukesha.wi.us,http://www.waukeshametro.org/,(262)524-3594,"2311 Badger Drive, Waukesha, WI 53188"
Wausau Area Transit System,WATS,Wausau,WI,Mr. Greg Seubert (Transit Director),gsseubert@charter.net,http://http//metroride.ci.wausau.wi.us,(715)842-9287,"420 Plumer Street, Wausau, WI 54403"
Washington County Transit,,West Bend,WI,Mr. Joseph Steier (Transit Manager),Joseph.Steier@co.washington.wi.us,http://www.co.washington.wi.us/,(262)335-7700,"900 Lang Street, West Bend, WI 53090"
"University of Arkansas, Fayetteville",Razorback Transit,Fayetteville,AR,Mr. David Martinson (Associate Vice Chancellor for Business),dom@uark.edu,http://http//parking.uark.edu,(501)575-2551,"155 Razorback Road ADSB 131, Fayetteville, AR 72701"
Fort Smith Transit,FST,Fort Smith,AR,Mr. Ken Savage (Transit Director),ksavage@fortsmithar.gov,http://www.fortsmithar.gov/,(479)784-2320,"6821 Jenny Lind, Fort Smith, AR 72902"
Central Arkansas Transit Authority,CATA,North Little Rock,AR,Mrs. Betty Wineland (Executive Director),bwineland@cat.org,http://www.cat.org/,(501)375-6717 Ext:223,"901 Maple Street, North Little Rock, AR 72114"
Pine Bluff Transit,PBT,Pine Bluff,AR,"Mr. Carl Redus, Jr. (Mayor)",carlr@cityofpinebluff.com,http://www.cityofpinebluff.com/pbtransit/,(870)543-1800,"2300 East Harding, Pine Bluff, AR 71601"
Ozark Regional Transit,ORT,Springdale,AR,Mr. Phil Pumphrey (Executive Director),ppumphrey@ozark.org,http://www.ozark.org/,(479)756-5901 Ext:247,"2423 East Robinson Avenue, Springdale, AR 72765"
City of Alexandria,Atrans,Alexandria,LA,Mr. T W Thompson (Chief Administrative Officer),TW.Thompson@cityofalex.com,http://www.cityofalexandriala.com/,(318)441-6010,"2021 Industrial Park Road, Alexandria, LA 71309"
Capital Area Transit System,CATS,Baton Rouge,LA,Mr. John Denman (CEO),johnd@brcats.com,http://www.brcats.com/,(225)389-8927,"2250 Florida Boulevard, Baton Rouge, LA 70802"
Jefferson Parish Department of Transit Administration,Jet,Gretna,LA,Mr. Ryan Brown (Transit Director),RDBrown@jeffparish.net,http://www.jeffersontransit.org/,(504)364-3450,"21 Westbank Expressway, Gretna, LA 70053"
Terrebonne Parish Consolidated Government,Good Earth Transit,Houma,LA,Mr. Wendell Voisin (Public Transit Administrator),wvoisin@tpcg.org,http://www.tpcg.org/,(985)850-4616,"1 McCord Rd., Houma, LA 70361"
Lafayette Transit System,LTS,Lafayette,LA,"Mr. Tony Tramel, P.E. (Director of Traffic & Transportation)",ttramel@lafayettegov.com,http://www.lafayettela.gov/,(337)291-8546,"100 Lee Avenue, Lafayette, LA 70502"
City of Monroe Transit System,MTS,Monroe,LA,Mr. James Mayo (Mayor),james.mayo@ci.monroe.la.us,http://www.mtsbus.org/,(318)329-2310,"700 Washington Street, Monroe, LA 71201"
Crescent City Connection Division - Louisiana Department of Transportation,CCCD,New Orleans,LA,Ms. Peggy Olivier (Acting Executive Director),peggy.olivier@la.gov,http://www.dotd.state.la.us/operations/cccd/home.asp,(504)376-8101,"2001 Mardi Gras Boulevard, New Orleans, LA 70174"
New Orleans Regional Transit Authority,NORTA,New Orleans,LA,"Mr. Justin Augustine, III (Chief Executive Officer)",justin.augustine@veoliatransportation.com,http://www.norta.com/,(504)827-8302,"2817 Canal Street, New Orleans, LA 70119"
Shreveport Area Transit System,SporTran,Shreveport,LA,Mr. Eugene Eddy (Resident Manager),gene.eddy@ci.shreveport.la.us,http://www.sportran.org/,(318)673-7400,"1115 Jack Wells Boulevard, Shreveport, LA 71107"
ABQ Ride,ABQ Ride,Albuquerque,NM,Mr. Greg Payne (Transit Director),gpayne@cabq.gov,http://www.cabq.gov/,(505)724-3100,"100 First Street SW, Albuquerque, NM 87102"
Las Cruces Area Transit,RoadRUNNER Transit,Las Cruces,NM,Mr. Michael Bartholomew (Transit Administrator),mbartholomew@las-cruces.org,http://http//www.las-cruces.org/public-services/roadrunner/index.shtm,(575)541-2537,"City of Las Cruces PO Box 20000, Las Cruces, NM 88004"
Santa Fe Trails - City of Santa Fe,SFT,Santa Fe,NM,Mr. Jon Bulthuis (Transit Division Director),jrbulthuis@santafenm.gov,http://www.santafenm.gov/,(505)955-2006,"2931 Rufina Street, Santa Fe, NM 87507"
Cleveland Area Rapid Transit,CART,Norman,OK,Ms. Theta Dempsey (CEO),tdempsey@ou.edu,http://cart.ou.edu/,(405)325-2046,"731 Elm Avenue Robertson Hall 318, Norman, OK 73019"
The Lawton Area Transit System,LATS,Lawton,OK,Mr. John Purcell (Mayor),jpurcell44@sbcglobal.net,http://www.ridelats.com/,(580)581-3301,"609 Southwest Bishop Road, Lawton, OK 73502"
Central Oklahoma Transportation and Parking Authority,COTPA,Oklahoma City,OK,Mr. Rick Cain (Administrator),rick.cain@okc.gov,http://www.gometro.org/,(405)297-3492,"300 Southwest 7th Street, Oklahoma City, OK 73109"
Metropolitan Tulsa Transit Authority,MTTA,Tulsa,OK,Mr. William Cartwright (General Manager),bcartwright@tulsatransit.org,http://www.tulsatransit.org/,(918)560-5603,"510 South Rockford, Tulsa, OK 74120"
Abilene Transit System,CityLink,Abilene,TX,Mr. Brad Patrick (General Manager),brad.patrick@abilenetx.com,http://www.abilenetx.com/citylink/,(325)676-6403,"1189 South 2nd Street, Abilene, TX 79602"
Amarillo City Transit,ACT,Amarillo,TX,Mr. Alan Taylor (City Manager),alan.taylor@ci.amarillo.tx.us,http://www.ci.amarillo.tx.us/,(806)378-3011,"801 East 23rd, Amarillo, TX 79105"
Handitran Special Transit Division - City of Arlington,Handitran,Arlington,TX,Mr. Robert Johnson (Transit Manager),bob.johnson@arlingtontx.gov,http://www.handitran.com/,(817)459-6420,"1101 West Main Street, Arlington, TX 76004"
"Dallas - VPSI, Inc.",,Arlington,TX,Mr. Jeffrey Henning (President and CEO),jeff.henning@vpsiinc.com,http://www.vpsiinc.com/,(248)597-3500,"624 Six Flags Drive Suite 220, Arlington, TX 76011"
Capital Metropolitan Transportation Authority,CMTA,Austin,TX,Mr. Doug Allen (Interim General Manager),doug.allen@capmetro.org,http://www.capmetro.org/,(512)389-7400,"2910 East Fifth Street, Austin, TX 78702"
Beaumont Municipal Transit System,BMT,Beaumont,TX,Mr. Kyle Hayes (City Manager),bmunson@beaumonttransit.com,http://www.beaumonttransit.com/,(409)835-7895,"550 Milam Street, Beaumont, TX 77701"
City of Brownsville - Brownsville Urban System,BUS,Brownsville,TX,Mr. Charlie Cabler (City Manager),charlie@cob.us,http://bus.cob.us/,(956)548-6005,"700 Jose Colunga, Jr., Street, Brownsville, TX 78521"
Brazos Transit District,The District,Bryan,TX,Mr. John McBeth (President/CEO),john@btd.org,http://www.btd.org/,(979)778-0607,"1759 North Earl Rudder Freeway, Bryan, TX 77803"
Corpus Christi Regional Transportation Authority,The B,Corpus Christi,TX,Mr. Eduardo Carrion (Chief Executive Officer),ecarrion@ccrta.org,http://www.ccrta.org/,(361)289-2712,"5658 Bear Lane, Corpus Christi, TX 78405"
Dallas Area Rapid Transit,DART,Dallas,TX,Mr. Gary Thomas (President/Executive Director),gthomas@dart.org,http://www.dart.org/,(214)749-2544,"1401 Pacific Avenue, Dallas, TX 75202"
Mass Transit Department - City of El Paso,Sun Metro,El Paso,TX,Mr. Jay Banasiak (Director),banasiakj1@elpasotexas.gov,http://www.elpasotexas.gov/,(915)534-5811,"700 A San Francisco Street, El Paso, TX 79901"
Fort Worth Transportation Authority,The T,Fort Worth,TX,Mr. Richard Ruddell (President/Executive Director ),rthornto@the-t.com,http://www.the-t.com/,(817)215-8704,"1600 East Lancaster, Fort Worth, TX 76102"
Island Transit,I T,Galveston,TX,Mr. Michael Worthy ( Director of Transportation),worthymic@cityofgalveston.org,http://www.islandtransit.net/,(409)797-3900,"3115 Market Street, Galveston, TX 77550"
City of Grand Prairie Transportation Services Department,Grand Connection,Grand Prairie,TX,Mr. Tom Hart (City Manager),thart@gptx.org,http://www.gptx.org/,(972)237-8010,"206 West Church Street, Grand Prairie, TX 75050"
"Metropolitan Transit Authority of Harris County, Texas",Metro,Houston,TX,Mr. Frank Wilson (President & CEO),FJW01@ridemetro.org,http://www.ridemetro.org/,(713)739-4899,"1900 Main, Houston, TX 77208"
"Laredo Transit Management, Inc.",El Metro,Laredo,TX,Mr. Feliciano Garcia (General Manager),fgarcia1@ci.laredo.tx.us,http://www.ci.laredo.tx.us/,(956)795-2288 Ext:234,"1301 Farragut Street 3rd Floor, West, Laredo, TX 78040"
Denton County Transportation Authority,DCTA,Lewisville,TX,Mr. Jim Witt (Interim President/CEO),jwitt@dcta.net,http://www.dcta.net/,(972)221-4600 Ext:107,"1660 S. Stemmons Suite 250, Lewisville, TX 75067"
Longview Transit,LTMI,Longview,TX,Mr. Matthew Penney (General Manager),mpenney@longviewtransit.com,http://www.longviewtransit.com/,(903)753-2287 Ext:13,"908 Pacific Ave Suite 200, Longview, TX 75605"
"City Transit Management Company, Inc.",Citibus,Lubbock,TX,Mr. John Wilson (General Manager),jwilson@citibus.com,http://www.citibus.com/,(806)712-2001,"801 Texas Ave, Lubbock, TX 79457"
Lower Rio Grande Valley Development Council,LRGVDC,McAllen,TX,"Mr. Kenneth Jones, Jr. (Executive Director)",knjones@lrgvdc.org,http://www.lrgvdc.org/,(956)682-3481 Ext:101,"311 North 15th Street, McAllen, TX 78501"
City of Mesquite,MTED,Mesquite,TX,Mr. Ted Barron (City Manager),tbarron@ci.mesquite.tx.us,http://www.cityofmesquite.com/,(972)216-6404,"1515 N. Galloway Ave., Mesquite, TX 75185"
Midland-Odessa Urban Transit District,EZ RIDER,Odessa,TX,Mr. Edward Esparza (General Manager),eesparza@ez-rider.org,http://www.ez-rider.org/,432-561-8051,"8007 East Highway 80, Odessa, TX 79765"
Port Arthur Transit,PAT,Port Arthur,TX,Mr. Thomas Kestranek (Transit Manager),tomk@portarthur.net,http://www.portarthur.net/,(409)983-8767,"320 Dallas Avenue, Port Arthur, TX 77641"
Concho Valley Transit District,CVTD,San Angelo,TX,Mr. Robert Stephens (Director of Transportation),rob@cvcog.org,http://www.cvcog.org/,(325)944-9666 Ext:280,"2801 W Loop 306 Suite A, San Angelo, TX 76904"
VIA Metropolitan Transit,VIA,San Antonio,TX,Mr. Keith Parker (President/CEO),keith.parker@viainfo.net,http://www.viainfo.net/,(210)362-2050,"800 West Myrtle, San Antonio, TX 78212"
Hill Country Transit District,The Hop,San Saba,TX,Ms. Tama Shaw (Executive Director),cwarlick@takethehop.com,http://www.takethehop.com/,(325)372-4677,"2905 West Wallace Street, San Saba, TX 76877"
"Texoma Area Paratransit System, Inc",TAPS,Sherman,TX,Mr. Brad Underwood (Chairman Board Of Directors),bradunderwood@tapsbus.com,http://www.tapsbus.com/,(903)893-4601 Ext:101,"6104 Texoma Parkway, Sherman, TX 75090"
Fort Bend County Public Transportation,Fort Bend Transit,Sugar Land,TX,Ms. Paulette Shelton (Transportation Director),sheltonp@co.fort-bend.tx.us,http://www.fortbendcountygov.com/,(281)633-7433,"12550 Emily Court Suite 400, Sugar Land, TX 77478"
The Gulf Coast Center,Connect Transit,Texas City,TX,Mr. George Winburn (Executive Director),mikew@gcmhmr.com,http://www.gcmhmr.com/,(409)763-2373,"4352 E. F. Lowry Expressway, Texas City, TX 77591"
Golden Crescent Regional Planning Commission,VICTORIA TRANSIT,Victoria,TX,Mr. Joe Brannan (Executive Director),jbrannan@gcrpc.org,http://www.victoriatransit.org/,(361)578-1587 Ext:208,"568 Big Bend Drive, Victoria, TX 77904"
"Waco Transit System, Inc.",WTS,Waco,TX,Mr. John Hendrickson (General Manager),johnhe@ci.waco.tx.us,http://www.waco-texas.com/,(254)750-1900,"301 South 8th Street, Suite 100, Waco, TX 76701"
Ames Transit Agency,CyRide,Ames,IA,Ms. Sheri Kyras (Director of Transit),skyras@cyride.com,http://www.cyride.com/,(515)239-5566,"1700 University Blvd., Ames, IA 50010"
Bettendorf Transit System,BT,Bettendorf,IA,Mr. Decker Ploehn (City Administrator),dploehn@bettendorf.org,http://www.bettendorf.org/department/?fDD=22-0,(563)344-4000,"1609 State Street, Bettendorf, IA 52722"
Cedar Rapids Transit,CRT,Cedar Rapids,IA,Mr. Brad DeBrower (Transit Manager),b.debrower@cedar-rapids.org,http://www.cedar-rapids.org/transit/,(319)286-5560,"427 8th St NW, Cedar Rapids, IA 52405"
Coralville Transit System,CTS,Coralville,IA,Mr. Kent Ralston (Assistant Transportation Planner),kent-ralston@iowa-city.org,http://www.coralville.org/,(319)356-5253,"1512 7th St., Coralville, IA 52241"
Davenport Public Transit,CITIBUS,Davenport,IA,Mr. Michael Clark (Public Works Director),mclarke@ci.davenport.ia.us,http://www.cityofdavenportiowa.com/,(563)326-7734,"226 West Fourth Street, Davenport, IA 52801"
Des Moines Area Regional Transit Authority,DART,Des Moines,IA,Mr. Bradford Miller (General Manager),bmiller@ridedart.com,http://www.ridedart.com/,(515)283-8111,"1100 DART Way, Des Moines, IA 50309"
City of Dubuque,KeyLine,Dubuque,IA,Mr. Jon Rodocker (Transit Manager),jrodocke@cityofdubuque.org,http://www.dbq.com/,(563)589-4196,"2401 Central Avenue, Dubuque, IA 52001"
Iowa City Transit,ICT,Iowa City,IA,Mr. Kent Ralston (Assistant Transportation Planner),kent-ralston@iowa-city.org,http://www.icgov.org/,(319)356-5253,"410 East Washington Street, Iowa City, IA 52240"
University of Iowa,Cambus,Iowa City,IA,Mr. Kent Ralston (Assistant Transportation Planner),kent-ralston@iowa-city.org,http://www.uiowa.edu/~cambus/,(319)356-5253,"100 Cambus Office, Iowa City, IA 52242"
Sioux City Transit System,SCTS,Sioux City,IA,Mr. Curtis Miller (Airport / Purch / Fleet / Transit Director),cmiller@sioux-city.org,http://www.sioux-city.org/dept/index.asp?deptnum=22,(712)279-6405,"2505 Fourth Street, Sioux City, IA 51102"
Metropolitan Transit Authority of Black Hawk County,MET Transit,Waterloo,IA,Mr. Mark Little (General Manager),m.little@mettransit.org,http://www.mettransit.org/,(319)234-5714 Ext:101,"1515 Black Hawk Street, Waterloo, IA 50702"
City of Lawrence - Lawrence Transit System,,Lawrence,KS,Mr. David Corliss (City Manager),dcorliss@ci.lawrence.ks.us,http://www.lawrencetransit.org/,(785)832-3400,"933 New Hampshire Street, Lawrence, KS 66044"
Parking & Transit Department,KU,Lawrence,KS,Ms. Donna Hultine (Director),dhultine@ku.edu,http://www.parkandride.ku.edu/,785-864-7275,"University of Kansas 1501 Irving Hill Road, Lawrence, KS 66045"
"Johnson County Kansas, aka: Johnson County Transit",The JO,Olathe,KS,Ms. Alice Amrein (Director of Transportation),alice.amrein@jocogov.org,http://www.thejo.com/,(913)782-2210,"1701 West 56 Highway, Olathe, KS 66061"
Topeka Metropolitan Transit Authority,Topeka Transit - TMTA,Topeka,KS,Ms. Janlyn Nesbett-Tucker (CEO/GM),cfalldine@topekatransit.com,http://www.topekatransit.com/,(785)233-2011 Ext:101,"201 North Kansas Avenue, Topeka, KS 66603"
Wichita Transit,WT,Wichita,KS,Mr. Michael Vinson (Director of Transit),mvinson@wichita.gov,http://www.wichita.gov/,(316)325-4805,"777 East Waterman, Wichita, KS 67202"
Columbia Transit,CT,Columbia,MO,Mr. H. Watkins (City Manager),WHW@gocolumbiamo.com,http://www.gocolumbiamo.com/PublicWorks/Transportation,(573)874-6338,"701 East Broadway, Columbia, MO 65205"
City of Jefferson,JEFFTRAN,Jefferson City,MO,Mr. Steve Rasmussen (City Administrator ),rturner@jeffcitymo.org,http://www.jeffcitymo.org/transit,(573)634-6306,"320 East McCarty Street, Jefferson City, MO 65101"
Kansas City Area Transportation Authority,KCATA,Kansas City,MO,Mr. Mark Huffer (General Manager),mhuffer@kcata.org,http://www.kcata.org/,(816)346-0211,"1200 East 18th Street, Kansas City, MO 64108"
City Utilities of Springfield,The Bus,Springfield,MO,Mr. John Twitty (General Manager),john.twitty@cityutilities.net,http://www.cityutilities.net/,(417)831-8600,"Transit Services 1505 North Boonville Avenue, Springfield, MO 65803"
Missouri State University,SMSU,Springfield,MO,Mr. Gary Snavely (Director of Safety and Transp.),jgs979t@missouristate.edu,http://www.missouristate.edu/,(417)836-4441,"901 South National Avenue, Springfield, MO 65804"
St. Joseph Transit,The Ride,St. Joseph,MO,Mr. Vince Capell (City Manager),vcapell@ci.st-joseph.mo.us,http://www.stjoemo.info/publicworks/transit.cfm,(816)271-4610,"702 South 5th Street, St. Joseph, MO 64501"
Bi-State Development Agency,METRO,St. Louis,MO,Mr. Robert Baer (President and CEO),rbaer@metrostlouis.org,http://www.metrostlouis.org/,(314)982-1400 Ext:1588,"707 North First Street, St. Louis, MO 63102"
StarTran,,Lincoln,NE,Mr. Larry Worth (Transit Manager),lworth@lincoln.ne.gov,http://www.lincoln.ne.gov/,(402)441-8600,"710 J Street, Lincoln, NE 68508"
Transit Authority of Omaha,MAT,Omaha,NE,Mr. Curt Simon (Executive Director),csimon@omamat.org,http://www.metroareatransit.com/,(402)341-7560 Ext:2100,"2222 Cuming Street, Omaha, NE 68102"
Mountain Metropolitan Transit,MMT,Colorado Springs,CO,Ms. Sherre Ritenour (Transit Services Manager),sritenour@springsgov.com,http://www.springsgov.com/,(719)385-5429,"1015 Transit Drive, Colorado Springs, CO 80903"
Denver Regional Transportation District,RTD,Denver,CO,Mr. Lee Kemp (Chair Of The Board),lee.kemp@rtd-denver.com,http://www.rtd-denver.com/,(303)299-2730,"1600 Blake Street, Denver, CO 80202"
Transfort,,Fort Collins,CO,Ms. Marlys Sittner (Transfort/Dial-A-Ride General Mgr.),msittner@fcgov.com,http://www.fcgov.com/transfort,(970)416-2113,"6570 Portner Road, Fort Collins, CO 80525"
Mesa County,GVT,Grand Junction,CO,"Mr. Tom Fisher (Director, Mesa County Regional Services )",tom.fisher@mesacounty.us,http://www.mesacounty.us/,(970)244-1788,"525 S. 6th Street 2nd Floor, Grand Junction, CO 81502"
City of Greeley - Transit Services,GET,Greeley,CO,Mr. Joel Hemesath (Director of Public Works ),joel.hemesath@greeleygov.com,http://www.greeleyevanstransit.com/,(970)350-9795,"1200 A Street, Greeley, CO 80631"
City of Loveland Transit,COLT,Loveland,CO,Mr. Keith Reester (Director of Public Works),reestk@ci.loveland.co.us,http://www.cityofloveland.org/,(970)962-2520,"410 East 5th Street, Loveland, CO 80537"
Pueblo Transit System,PT,Pueblo,CO,Mr. Mickey Beyer (Interim Director of Public Works),mbeyer@pueblo.us,http://www.pueblo.us/,(719)553-2272,"350 South Grand Avenue, Pueblo, CO 81003"
Billings Metropolitan Transit,Billings MET Transit,Billings,MT,Mr. Thomas Binford (Director-Aviation and Transit),binfordt@ci.billings.mt.us,http://www.mettransit.com/,(406)657-8493,"1705 Monad Road, Billings, MT 59103"
Great Falls Transit District,GFTD,Great Falls,MT,Mr. James Helgeson (General Manager),gm@gftransit.com,http://www.gftransit.com/,(406)727-0382 Ext:303,"3905 North Star Boulevard, Great Falls, MT 59403"
Missoula Urban Transportation District,Mountain Line,Missoula,MT,Mr. Stephen Earle (General Manager),searle@mountainline.com,http://www.mountainline.com/,(406)543-8386 Ext:104,"1221 Shakespeare, Missoula, MT 59802"
Bis-Man Transit Board,CAT,Bismarck,ND,Ms. Robin Werre (Executive Director),robinw.bisman@midconetwork.com,http://www.bismantransit.com/,(701)258-6817,"3750 East Rosser Avenue, Bismarck, ND 58501"
Fargo Metropolitan Area Transit,MAT,Fargo,ND,Mr. Jim Gilmour (Planning Director),JRGilmour@ci.fargo.nd.us,http://www.ci.fargo.nd.us/,(701)241-1476,"502 Northern Pacific Avenue, Fargo, ND 58102"
Cities Area Transit,CAT,Grand Forks,ND,Mr. Dale Bergman (Transportation Superintendent),dbergman@grandforksgov.com,http://www.grandforksgov.com/bus,(701)746-2590,"867 South 48th Street, Grand Forks, ND 58206"
Rapid Transit System,,Rapid City,SD,Mr. Alan Hanks (Mayor),alan.hanks@rcgov.org,http://www.rcgov.org/,(605)394-4110,"333 Sixth Street, Rapid City, SD 57701"
Su Tran LLC dba: Sioux Falls Transit,,Sioux Falls,SD,Hon David Munson (Mayor),dmunson@siouxfalls.org,http://www.siouxfalls.org/,(605)367-8800,"500 East Sixth Street, Sioux Falls, SD 57103"
"City of Logan, dba: The Logan Transit District",LTD,Logan,UT,Mr. Todd Beutler (Transit Manager),tbeutler@cvtdbus.org,http://www.ltdbus.org/,(435)713-6968,"754 West 600 North, Logan, UT 84321"
Cache Valley Transit District,CVTD,Logan,UT,Mr. Curtis Roberts (Finance Director),croberts@cvtdbus.org,http://www.cvtdbus.org/,(435)713-6963,"754 West 600 North, Logan, UT 84321"
Utah Transit Authority,UTA,Salt Lake City,UT,Mr. John Inglish (General Manager),jinglish@rideuta.com,http://www.rideuta.com/,(801)262-5626 Ext:2130,"3600 South 700 West, Salt Lake City, UT 84130"
City of Casper,,Casper,WY,Ms. April Getchius (Director),agetchius@cityofcasperwy.com,http://www.casperareatransportation.com/,(307)235-8241,"200 N David, Casper, WY 82601"
The City of Cheyenne Transit Program,CTP,Cheyenne,WY,Mr. Joseph Dougherty (Transit Director),rjording@cheyennecity.org,http://http//www.cheyennecity.org/index.asp?nid=252,(307)637-6383,"322 West Lincolnway, Cheyenne, WY 82001"
Coconino County Transportation Services,Mountain Line/Lift,Flagstaff,AZ,Mr. Jeff Meilbeck (General Manager),jmeilbeck@naipta.az.gov,http://www.naipta.az.gov/,(928)679-8900,"2300 South Huffer Lane, Flagstaff, AZ 86001"
City of Glendale Transit,,Glendale,AZ,Mr. Jamsheed Mehta (Transportation Director),jmehta@glendaleaz.com,http://www.glendaleaz.com/,(623)930-2940,"6210 West Myrtle Avenue Building S, Glendale, AZ 85301"
"Phoenix - VPSI, Inc.",,Glendale,AZ,Mr. Jeffrey Henning (President and CEO),jeff.henning@vpsiinc.com,http://www.vpsiinc.com/,(248)597-3500,"4494 W. Peoria Ave. #105, Glendale, AZ 85302"
Peoria Transit,,Peoria,AZ,Mr. Randy Roberts (Transit Manager),randy.roberts@peoriaaz.gov,http://www.peoriaaz.gov/,(623)773-7461,"8401 West Monroe Avenue, Peoria, AZ 85345"
City of Phoenix Public Transit Department dba Valley Metro,Valley Metro,Phoenix,AZ,Ms. Debbie Cotton (Public Transit Director),debbie.cotton@phoenix.gov,http://www.valleymetro.org/,(602)534-6765,"302 North First Avenue Suite 900, Phoenix, AZ 85003"
Maricopa County Special Transportation Services,MCHSD,Phoenix,AZ,Ms. Trish Georgeff (Director),georgefft@mail.maricopa.gov,http://www.hsd.maricopa.gov/,(602)506-0066,"Maricopa County Human Services Department 234 North Central Avenue, Phoenix, AZ 85004"
"Regional Public Transportation Authority, dba: Valley Metro",RPTA,Phoenix,AZ,Mr. David Boggs (Executive Director),mtaylor@valleymetro.org,http://www.valleymetro.org/,(602)262-7433,"302 North First Avenue Number 700, Phoenix, AZ 85003"
City of Scottsdale - Scottsdale Trolley,COS,Scottsdale,AZ,Ms. Madeline Clemann (Transit Manager),mclemann@scottsdaleaz.gov,http://www.scottsdaleaz.gov/,(480)312-2732,"7447 East Indian School Road Suite 205, Scottsdale, AZ 85251"
"Sun Cities Area Transit System, Inc.",SCAT,Sun City,AZ,"Mr. Tom Perfico (President, Board of Directors)",tperfico@scatdialaride.net,http://www.scatdialaride.org/,(623)977-8363,"Sun City, AZ 85372"
Surprise Dial-A-Ride Transit System,,Surprise,AZ,"Dr. Robert Maki (Director, Transportation Dept.)",robert.maki@surpriseaz.com,http://www.surpriseaz.com/,(623)222-1720,"15832 North Hollyhock Street, Surprise, AZ 85374"
City of Tempe Transit Division - dba Valley Metro,TIM - Tempe in Motion,Tempe,AZ,Mr. Carlos de Leon (Deputy Public Works Manager),Carlos_deleon@Tempe.gov,http://www.tempe.gov/tim,(480)350-8527,"200 E. 5th Street, Tempe, AZ 85280"
City of Tucson,COT,Tucson,AZ,Mr. Jim Glock (Director),Jim.Glock@tucsonaz.gov,http://www.ci.tucson.az.us/,(520)837-6692,"149 N Stone Ave - 2nd Floor, Tucson , AZ 85726"
Yuma Metropolitan Planning Organization,YMPO,Yuma,AZ,Ms. Charlene FitzGerald (Executive Director),cfitzgerald@ympo.org,http://ympo.org/,(928)783-8911,"502 South Orange Avenue, Yuma, AZ 85364"
City of Alameda Ferry Services,,Alameda,CA,Ms. Ann Gallant (Interim City Manager),epsanche@ci.alameda.ca.us,http://www.ci.alameda.ca.us/,(510)748-4505,"c/o: City of Alameda 2263 Santa Clara Avenue, Alameda, CA 94501"
Anaheim Transportation Network,ATN,Anaheim,CA,Ms. Diana Kotler (Executive Director),dkotler@atnetwork.org,http://www.rideart.org/,714-563-5287,"1280 South Anaheim Blvd, Anaheim, CA 92805"
The Eastern Contra Costa Transit Authority,Tri Delta Transit,Antioch,CA,Ms. Jeanne Krieg (CEO),jkrieg@eccta.org,http://www.trideltatransit.com/,(925)754-6622 Ext:224,"801 Wilbur Avenue, Antioch, CA 94509"
